No.;Time;Comment;Scramble;Date;P.1
1;2:46.89;;Rw2 Uw' 3Rw' Bw' U' Fw Uw 3Rw Fw2 3Fw2 D' L' 3Uw Fw2 Lw' Bw2 Dw' Lw' R2 Dw D' U B Uw2 R 3Rw2 Fw2 Lw L' 3Rw Rw F Dw2 Fw2 D' Lw Dw B2 F' Lw2 B Uw B Dw Lw' R 3Rw' F2 B2 3Rw2 Dw Lw 3Fw Lw2 Uw2 Lw R2 Rw L' 3Fw' 3Uw2 Dw' Lw' Rw U L2 3Rw' Lw F' 3Rw' Rw Fw' Bw2 R 3Fw Uw' 3Fw' Lw R 3Uw';2025-02-24 07:47:49;2:44.89
2;2:54.12;;R Uw' F Uw' F R Lw 3Fw D2 Lw Dw B' D' Uw' Fw2 3Uw2 F' Dw D 3Uw2 Bw' Uw Fw2 R' L Bw Dw2 3Rw2 3Fw L Uw' R Fw2 3Rw2 Uw2 Lw2 L' Bw' L2 Uw' F 3Fw2 3Rw' F2 Rw' F Uw2 3Rw2 F2 Bw2 3Uw' Fw Lw' Rw2 Dw R Fw 3Rw2 Fw2 3Fw2 U' 3Fw 3Rw R U2 L Fw2 3Uw Lw2 D B Dw D2 3Fw2 Lw2 B2 L' 3Rw2 F U2;2025-02-24 07:51:45;2:54.12
3;2:48.08;;R U L' 3Rw2 Bw' U2 F Uw' L2 B' 3Uw' 3Fw' F' L U Uw2 R Dw 3Uw' R' L Fw2 U' L' D' 3Rw2 R' B' Rw' Bw2 B2 R' 3Fw' R2 3Rw' U' Uw2 D' 3Fw Rw Lw2 Bw' 3Fw Fw Uw' Bw Uw B' Lw' Bw2 D2 Uw Lw2 R' Dw' Bw 3Rw 3Uw' U' Uw' B' Bw L' Dw 3Rw Dw' U R 3Rw2 L' U' R2 L Rw2 U' Uw' 3Rw2 U 3Rw2 Uw';2025-02-24 07:55:34;2:48.08
4;2:49.95;;L' Dw' Lw D2 3Fw B L' 3Fw2 Fw2 F2 Bw' L2 Rw' Uw2 D Bw2 3Rw2 B' 3Fw Rw' 3Rw2 Uw' F Lw2 3Fw2 F U2 L' Dw' D2 L' U' R2 3Rw F2 3Rw' U' 3Fw' 3Uw' Bw Lw2 Dw' Fw 3Fw Dw' 3Rw Bw D' Lw2 3Uw' Fw' D2 U R2 3Fw B D 3Fw2 Bw2 L' B 3Rw' D2 Lw2 Rw' Dw2 L2 B2 Fw2 Dw' Rw B' Fw' 3Uw2 F' Lw' R2 3Fw Uw' Dw;2025-02-25 11:45:06;2:49.95
5;2:32.19;;B' R2 Fw' F2 R' B2 3Fw Lw Dw' 3Rw D2 3Rw B2 3Fw' 3Uw' L Fw' 3Rw' 3Fw 3Rw2 Fw' Bw U2 B Bw' D 3Rw Dw' L' Bw B2 F' 3Fw Lw D2 R' Bw2 F' Uw2 3Fw' Lw' F2 R Bw2 Dw' Fw' D' R2 Uw Fw Lw' Uw' U2 3Uw2 Fw' Uw Rw2 Lw' 3Fw F D' F B 3Uw Uw2 Dw' R' U2 Uw Rw2 Fw Lw' F' 3Uw' Rw' F2 D2 R2 Lw 3Rw;2025-02-25 11:49:17;2:32.19
6;2:52.81;;Fw2 Uw' 3Rw' Lw Dw Lw' D2 B R' 3Uw2 Lw' Uw2 U2 3Rw D R2 Lw' 3Rw' Bw' Dw' U' R Fw 3Rw' Fw2 Bw2 D' R Dw2 U Bw2 L2 Fw D U2 F Fw2 L2 U2 3Uw2 Fw2 Dw' U2 B' R Bw U' F Lw Fw' B2 U' F R' Lw' U2 3Uw2 Uw Bw' Dw2 3Fw D Dw2 3Fw2 3Rw' F2 L B2 Bw2 3Uw Bw Fw Uw' Bw' Rw2 Bw' Uw' Lw' Rw' 3Rw';2025-02-25 11:52:49;2:52.81
7;2:30.22;;R' Fw2 Dw' Uw2 3Rw2 B' U Lw B2 Lw2 Rw' Bw2 Rw Fw2 Uw2 Bw' D' Lw Fw 3Rw F2 Rw2 3Rw D Lw' D 3Uw2 Uw Fw' Lw Bw Rw 3Uw' R U' B 3Fw Bw F Fw2 Lw Fw2 3Fw2 F L2 Bw' B2 3Rw' Dw 3Rw2 Rw2 Uw2 L2 Dw B' Dw2 Lw 3Fw' U' Fw' U Uw2 Dw Fw2 Dw B2 Fw' F2 Uw2 D2 3Fw2 3Rw' Fw 3Uw2 L' D R' Bw Rw 3Rw2;2025-02-26 08:05:22;2:30.22
8;2:40.50;;B' U2 Uw D' 3Fw2 3Rw2 F' 3Fw2 Fw2 U' Bw 3Fw' B' 3Uw' Rw' D B' Bw' Uw D2 L' F L U 3Rw Dw' Rw' F D L' D2 Rw' 3Rw Bw' Uw' R2 Dw Rw2 Lw' F2 L2 D2 Lw' Uw' 3Fw2 Fw2 L2 Rw' 3Rw' Fw' R' 3Rw Bw' Rw 3Rw2 3Uw' L' Rw2 Fw D' R' D' Rw 3Rw2 Dw Fw U2 3Fw L U2 3Uw Uw' R' Bw D2 Dw2 3Rw F' 3Uw B';2025-02-26 08:09:00;2:40.50
9;2:42.56;;R' D R' Fw' Bw' Dw' U R 3Fw' Rw' 3Rw' L2 Lw2 Dw' F' 3Rw2 Rw2 U' 3Fw2 Uw' R Lw2 Uw2 U2 3Rw2 D2 L2 Fw 3Uw B Fw' Rw' L R D2 Bw2 3Uw2 Uw2 3Rw2 F 3Fw Rw' L2 D2 Bw' Uw' 3Uw' U2 F2 D2 Dw' R Dw' Rw2 Bw 3Rw' Bw B' F' D' 3Fw2 D' L' D F2 Rw2 Bw B 3Uw2 Bw 3Fw2 Uw' Bw L2 Rw' F Dw' 3Uw2 U2 Uw2;2025-02-26 08:12:43;2:42.56
10;2:49.46;;3Uw B2 3Uw' D2 L' Bw' Rw U 3Fw' D' Rw' Uw2 Fw Dw2 R' L' Dw Fw2 F2 Rw2 B' Dw' 3Rw' B' Dw L2 F B' L U' 3Rw2 Lw L 3Uw U' Bw2 R D 3Rw 3Uw 3Fw' Uw2 Fw' U' Bw F' 3Rw2 Fw' 3Uw' B' Fw Dw 3Uw2 F D B F Uw' L' F L' D' B 3Fw2 3Rw Dw' Lw2 B' 3Rw' U' B Uw2 D2 U' 3Rw' Rw U Bw' Rw' Fw';2025-02-27 10:17:56;2:49.46
11;2:46.77;;Fw2 F2 Dw' 3Rw2 B' R Fw' Rw 3Rw2 U R2 D2 Bw' B' Fw Rw U' Dw D2 3Uw' 3Fw2 Dw2 Uw' F2 3Uw2 Uw' R' Fw2 Uw2 B2 L Uw R' 3Uw2 Dw2 Lw' U 3Fw2 R B 3Fw2 Rw' Fw 3Rw' Uw Lw D F' Bw' 3Rw2 3Fw 3Uw 3Fw R2 L2 3Uw2 Lw2 3Uw2 D' Rw R Uw2 3Fw2 Fw' U Bw' 3Fw U Bw2 F2 R2 F' R B2 3Uw D' Bw' Lw2 L F';2025-02-27 10:21:59;2:46.77
12;2:41.96;;Dw' Bw' L F Bw' 3Uw2 Lw' L2 Uw2 3Fw' R2 Dw2 Rw 3Fw2 3Rw2 3Uw2 R Rw' Uw Fw R' U2 Bw 3Fw2 Dw2 B' 3Fw U2 L' Bw' Uw Fw Lw' D' Uw' R' D Rw L2 Lw Dw2 3Rw L B2 D2 Bw Lw' L' U2 3Fw D2 3Rw 3Uw' D' F Rw2 L' 3Uw Rw Dw' 3Rw' Dw Uw Fw B D' F2 Dw' Lw' Rw2 3Fw2 3Rw2 Bw' B F' 3Uw' Dw D2 U2 L2;2025-02-27 10:25:58;2:41.96
13;3:04.55;;F2 Fw2 Dw2 D2 Lw' D F2 3Rw' B2 Rw' U' Dw' F' Uw F' U L2 Rw' Bw' Uw' Lw L Dw 3Fw2 B U Lw2 Dw Uw2 B' Lw' B Rw Uw' Fw2 Dw' D L2 Fw' D2 L' Bw2 F2 R' 3Uw2 D' R2 B U' Dw F2 3Fw2 Uw' F' U2 Rw2 D L 3Fw F L Bw' 3Rw Bw' 3Fw' Dw 3Rw2 F U' L F' Lw 3Fw' Fw' 3Rw Dw F' Rw2 U2 B;2025-02-28 08:35:19;3:04.55
14;3:12.32;;L2 3Rw2 Fw2 U' Dw2 F R 3Uw' U D' B' Uw2 D2 3Uw2 F' 3Fw' D' 3Rw2 D2 3Fw' D Fw L' Lw2 B' Lw' Uw' D L2 3Fw U' B2 Dw2 3Fw R F 3Fw Lw2 R' F' Lw' Rw' R D' Lw' U' Bw Uw 3Uw' 3Fw' Rw Lw2 3Rw' U' 3Fw Rw F' L2 D Lw' Rw2 Bw2 3Rw' Rw B' L Dw Bw2 Uw2 B' 3Uw' 3Fw2 Dw Fw' U' Lw' L2 B' Lw L;2025-02-28 08:39:30;3:12.32
15;2:33.60;;Fw B U' 3Fw2 3Uw L2 3Fw Fw F' U2 Uw2 R' F L D' F' R' B2 Rw' 3Rw R2 Fw2 Rw2 Lw D2 3Fw2 Uw 3Fw2 F2 U' 3Uw 3Fw Dw D R' Dw Lw' R 3Fw2 3Rw2 L Rw' 3Fw Rw Lw' 3Fw L2 Dw 3Rw D2 3Rw' Dw U' Lw' 3Fw2 D2 F Dw' Rw2 3Fw B D U2 3Rw2 Uw' L2 Uw2 3Rw Dw 3Rw2 D' Bw2 R' Bw F Dw Lw' 3Rw' 3Uw D;2025-02-28 08:43:48;2:33.60
